id,component,peaks,intensity
188,glycogen,"[484, 579, 596, 856, 941, 1051, 1084, 1130, 1262, 1337, 1387, 1460]","[0.6832594835561401, 0.23563802928452524, 0.14899597948286566, 0.5114293256417093, 0.5939179469330755, 0.5482992596375603, 0.8427863850498849, 0.9233074635734129, 0.37782873470262374, 0.9998216229277427, 0.8406196938061434, 0.6671307672396086]"
189,l-(+)-arabinose,"[511, 579, 612, 698, 789, 843, 993, 1051, 1096, 1136, 1260, 1312, 1356, 1375, 1449, 1476]","[0.13569805422921566, 0.19458279271520346, 0.1948636539998015, 0.27887950217996915, 0.04770953016996972, 0.9699068254915001, 0.23954694707299318, 0.2409044269750459, 0.2420691390962314, 0.23837981063740682, 0.5507979003307646, 0.3050312581659061, 0.21784731864930773, 0.1958223638286191, 0.08262867061034629, 0.4207196704701223]"
191,elastin,"[527, 622, 665, 758, 837, 854, 904, 934, 957, 1003, 1029, 1106, 1123, 1175, 1208, 1248, 1340, 1416, 1452, 1515, 1605, 1661]","[0.2010701865765651, 0.07086834848032551, 0.193601942207412, 0.1350672166850611, 0.1443839597766165, 0.1896169172035332, 0.2597242505432007, 0.250247452529262, 0.2253344136857785, 0.4149597339397124, 0.2314728128734836, 0.24609888035418842, 0.1524643543347915, 0.1355286434006458, 0.17327091694238947, 0.3442338923550483, 0.3055029440555393, 0.18853512180226456, 0.983033405824236, 0.07329012061943864, 0.2047847911243159, 0.8025882115027544]"
192,keratin,"[1670, 1653, 1615, 1605, 1585, 1550, 1518, 1460, 1448, 1419, 1340, 1317, 1282, 1243, 1207, 1174, 1155, 1124, 1100, 1080, 1060, 1045, 1031, 1002, 956, 935, 900, 852, 827, 757, 642, 619, 601, 564, 549, 541, 510, 490]","[0.9439799084633618, 0.7719687765088842, 0.32109140841491934, 0.2760456895739985, 0.0919048132977944, 0.07068985396755831, 0.013645780587094153, 0.788348452768925, 0.9874915973449728, 0.26962553832238906, 0.43359549354904714, 0.44744993271305367, 0.3343767168141851, 0.42276854169458256, 0.19814199130634683, 0.07184230713040195, 0.04048038822847055, 0.1608848591152639, 0.10998688277927243, 0.13923035983343449, 0.1304903901513127, 0.12625886840816442, 0.16339757019577708, 0.3533299353649232, 0.1032058056235366, 0.11015517410594071, 0.053048959108343736, 0.20813864628911724, 0.19152301454770643, 0.10003115151693241, 0.16099705863428243, 0.07641828116869791, 0.013543178987671944, 0.04366864390360942, 0.05633937312593777, 0.06739919214648807, 0.1157262132999758, 0.06205481770585129]"
193,l-asparagine,"[537, 578, 632, 659, 672, 750, 760, 834, 874, 893, 937, 982, 1070, 1110, 1150, 1156, 1245, 1260, 1328, 1353, 1414, 1425, 1497, 1580, 1619, 1675]","[0.1090982661332072, 0.018247711314125788, 0.014509593607491983, 0.030175366278304607, 0.030310731171066776, 0.09206444982848015, 0.33043237003202763, 0.01676086845014781, 0.06354226148979328, 0.05561617787535662, 0.29285212039969893, 0.048235183953176955, 0.19043930691022296, 0.16368864594565985, 0.16905793026203628, 0.3474170270983019, 0.023793614050565674, 0.06993197112273397, 0.24767451947689054, 0.13795171630632477, 0.34768977837346793, 1.0, 0.08379175310509492, 0.10004389057706693, 0.2812762287543864, 0.07241881261977753]"
194,l-aspartic acid,"[466, 552, 599, 661, 777, 870, 900, 937, 991, 1082, 1120, 1145, 1249, 1260, 1336, 1359, 1408, 1422, 1459, 1508, 1616, 1634, 1692]","[0.20103003868805605, 0.21133042556861592, 0.08615485079224276, 0.04330228432024848, 0.42246987506468414, 0.3130159434217984, 0.16510189497548117, 0.8867265469061879, 0.12813878416007496, 0.2765087109731155, 0.16165200463271, 0.049961804785490754, 0.15746285207363103, 0.10768586284221689, 0.5926911608880993, 0.20602005864813583, 0.34006061950173727, 0.4541287794780817, 0.014526502550454571, 0.036322416894605844, 0.06653359946773121, 0.05061481974322957, 0.18491412237253899]"
195,glucosamine,"[460, 513, 525, 533, 545, 562, 581, 610, 702, 740, 775, 865, 896, 916, 943, 1005, 1040, 1056, 1094, 1115, 1142, 1194, 1225, 1245, 1270, 1315, 1330, 1345, 1372, 1388, 1432, 1460, 1520, 1583, 1620]","[0.03393749319017523, 0.551447613175494, 0.8940273226399174, 0.38167759207760105, 0.3231178760021093, 0.3196122460067031, 0.35570127148824005, 0.10119157223741056, 0.07686389190775178, 0.03912344008077435, 0.07917608429385495, 0.08315563801090411, 0.14722830208471188, 0.1420876107057575, 0.033738246476006595, 0.33418760824168675, 0.4415683508358407, 0.18517965513189352, 0.3331301442412721, 0.22001587835013145, 0.5276790766926349, 0.08688407164489813, 0.1393136271247456, 0.18493236259709445, 0.12223803132391534, 0.238010520074968, 0.4691795807532428, 0.516523966295772, 0.4083417650874866, 0.3997301945244962, 0.08599597293658058, 0.23863274478971597, 0.015249792422241145, 0.11000761424795687, 0.13585934618299633]"
196,tubulin,"[523, 542, 594, 641, 676, 711, 741, 831, 949, 1002, 1039, 1063, 1125, 1206, 1266, 1332, 1360, 1416, 1458]","[0.13283850091639446, 0.13698795717332032, 0.029624198142067855, 0.05503170288215466, 1.0, 0.27927143131220256, 0.054534060504202626, 0.32161220721476247, 0.11343320459977596, 0.26054690876326564, 0.37213506660044154, 0.28646331511377937, 0.2413811663550708, 0.05517992591502894, 0.10868890028233158, 0.1831102793464233, 0.15796285245303662, 0.2805103173322242, 0.2650136394734132]"
197,insulin,"[516, 626, 646, 673, 726, 770, 834, 855, 898, 962, 1007, 1035, 1130, 1180, 1210, 1267, 1319, 1341, 1450, 1616, 1663]","[0.28693566779683316, 0.14756130814843868, 0.2564500827552202, 0.18237738297624814, 0.19790460361236384, 0.15108548076405498, 0.6400618633713184, 0.688497893322651, 0.3787525745958296, 0.49378356786367267, 0.9017348057782958, 0.49838437340460956, 0.4001446181505326, 0.5200434497332183, 0.7863111852288412, 0.6558626784881642, 0.572954478657892, 0.6288575378222727, 0.719994332177292, 0.46076191241831693, 0.6694535274258078]"
198,diethylstilbestrol,"[507, 556, 613, 635, 673, 735, 815, 832, 956, 1005, 1018, 1051, 1111, 1171, 1200, 1257, 1299, 1317, 1440, 1457, 1508, 1608, 1632]","[0.05890316259536222, 0.09393918057914973, 0.13182855697141163, 0.24257338248458638, 0.09696584175009966, 0.08411261436611431, 0.6617462293829404, 0.24001116696898445, 0.13477531859184486, 0.14431053464678822, 0.12481102589969789, 0.1620965244691229, 0.3936417983539368, 0.2542211698811876, 0.05068622223005403, 0.2976161871796048, 0.2963963940467279, 0.13907360497708465, 0.10297940122864055, 0.11081528580235678, 0.11520098579373426, 0.6478919058449505, 1.0]"
199,estradiol,"[486, 500, 519, 551, 575, 630, 735, 788, 816, 903, 931, 967, 1011, 1055, 1117, 1132, 1168, 1185, 1203, 1243, 1259, 1289, 1300, 1327, 1343, 1438, 1511, 1591, 1612, 1634]","[0.14632319793661158, 0.23972403419996424, 0.19095063933728512, 0.4350442790488984, 0.14519503949629148, 0.16791816409511376, 0.6243421936927874, 0.16807375576587272, 0.5340387595650865, 0.27762235197597984, 0.25637689781371714, 0.38631372921572515, 0.6885704135902883, 0.1613261304062997, 0.3912534331832196, 0.2336616033852734, 0.2691102946002792, 0.24484596861769023, 0.22063441973575282, 0.48274804959634315, 0.7346375219783531, 0.3090450393706619, 0.3263999452736046, 0.43685825266374034, 0.32806548372097133, 0.5265882998149383, 0.12091900125321224, 0.3131381773503246, 0.796003181631678, 1.0]"
200,estriol,"[486, 502, 519, 550, 629, 677, 736, 788, 815, 905, 930, 965, 1007, 1057, 1117, 1132, 1168, 1186, 1203, 1241, 1261, 1287, 1300, 1327, 1342, 1436, 1511, 1590, 1612, 1634]","[0.1446153729240206, 0.23899392525297153, 0.19857000006532308, 0.4378142941276685, 0.17056548563129104, 0.07431260361073062, 0.632164090809628, 0.1673800451594514, 0.5363861865634748, 0.28384596742031, 0.2568762445226318, 0.38872726603229335, 0.6891390354864241, 0.15731150231928243, 0.388178179637044, 0.22878298207768497, 0.26443833697151214, 0.2473257590247485, 0.2157248137629355, 0.4869968113921327, 0.7331562906815259, 0.3129731898672263, 0.3221013885516795, 0.4331581928342056, 0.32435216814213974, 0.5311392486203129, 0.1156007460641414, 0.3112697004632877, 0.8031866044279151, 1.0]"
201,estrone,"[515, 589, 647, 724, 792, 830, 899, 938, 963, 1000, 1054, 1115, 1139, 1170, 1192, 1227, 1258, 1292, 1340, 1400, 1442, 1464, 1586, 1623, 1719]","[0.31076635883416875, 0.3406158212405842, 0.17604105082763266, 1.0, 0.17741538992559752, 0.2060488741266019, 0.12441972171882934, 0.24540818451418348, 0.3135606090887186, 0.22622458606159482, 0.07617341332224148, 0.1319739847661973, 0.1413611876229265, 0.1886325117325789, 0.19911774937553434, 0.20153848884125117, 0.6750458729768265, 0.2678522856337715, 0.2402630880086608, 0.24441292709274776, 0.31740050495786964, 0.24986382146581407, 0.2604582545895873, 0.324002790406077, 0.39030023119208096]"
202,ethinylestradiol,"[458, 500, 524, 546, 595, 621, 714, 734, 788, 828, 878, 931, 956, 972, 1009, 1111, 1135, 1164, 1179, 1202, 1237, 1259, 1288, 1308, 1337, 1390, 1434, 1451, 1585, 1616]","[0.2312593090385211, 0.6577679138380346, 0.3647324296426233, 0.13463001106336148, 0.6816484836816029, 0.4236118519004933, 1.0, 0.7225275466675067, 0.2031473985256845, 0.18871555805109116, 0.1352383899629328, 0.4611536723887948, 0.34765065779412846, 0.28384733385041583, 0.4907165333042121, 0.27814838096730615, 0.25177916269696626, 0.3643816600468744, 0.35055624382780426, 0.28704687768706344, 0.5879360436296244, 0.536869812637639, 0.3581863090823446, 0.36479244179534087, 0.3257150540051397, 0.1656737485524739, 0.6185305349112971, 0.414827506223993, 0.1842956737133152, 0.37351396841009266]"
